rowname,cc_ischia_10,B.cells,C1Q.TAM,CD4..cells,CD8.NK.cells,DCs,Endothelial.cells,FCN1.TAM,Hepatocytes,iCAF,myCAF,Normal.Epithelial.cells,Proliferative.T.cells,PVL,SPP1.TAM,Tumor.Epithelial.cells
IU PDA HM10 CC1,CC1,0.007004811,0.108915577,0.056599844,3.59E-05,0.018602949,0.036582827,0.00975774,0.088580536,0.017214116,0.481797567,3.59E-05,0.040149096,0.025332415,0.036899198,0.072491564
IU PDA HM10 CC2,CC2,0.005355663,0.080019712,0.005678845,0.001434261,0.010877272,0.010298647,0.008253624,0.066736029,0.00115874,0.107579272,2.41E-05,0.12085786,0.012162855,0.022516983,0.547046126
IU PDA HM10 CC3,CC3,0.001396744,0.046695979,0.00018457,2.24E-05,0.007182731,0.005865399,0.004332297,0.039549077,0.000706572,0.056806765,2.55E-05,0.110778316,0.007674082,0.013496792,0.705282744
IU PDA HM10 CC4,CC4,0.010244417,0.091914442,0.024123056,0.004913302,0.018449537,0.016479421,0.029374399,0.106146947,0.003556542,0.185302045,2.82E-05,0.090994413,0.021324175,0.043548719,0.353600428
IU PDA HM10 CC5,CC5,0.00978942,0.072166077,0.06075894,0.001988955,0.009479159,0.051559844,0.028101296,0.089906048,0.001549131,0.355469672,4.13E-05,0.066159402,0.032930864,0.037510352,0.182589584
IU PDA HM10 CC6,CC6,0.010124192,0.013292502,0.034601243,0.003644755,0.010460806,0.005367679,0.008136247,0.814359445,0.01636994,0.017223759,3.77E-06,0.009552988,0.005623094,0.009149432,0.042090146
IU PDA HM10 CC7,CC7,0.026086844,0.118340647,0.054888867,0.016488305,0.026676254,0.044000642,0.025663705,0.150026122,0.007489978,0.239220046,0.001541547,0.066011151,0.059001376,0.029406597,0.135157931
IU PDA HM10 CC8,CC8,0.042350356,0.058570664,0.0736025,0.010813415,0.022708069,0.013698824,0.017019962,0.417706415,0.027317534,0.097240119,0.000329148,0.031622723,0.014235348,0.023637126,0.149147799
IU PDA HM10 CC9,CC9,0.198587629,0.036778593,0.16674101,0.047619071,0.048337033,0.000264821,0.075821055,0.223413183,0.057770837,0.074354174,3.92E-05,0.014755426,3.92E-05,0.000465554,0.055013234
IU PDA HM11 CC1,CC1,0.03085147,0.093008176,0.02409937,0.00330152,0.04700669,0.010600952,0.015657494,0.031135764,0.051344485,0.513379091,1.49E-05,0.003804221,0.023219713,0.044661107,0.107915089
IU PDA HM11 CC2,CC2,0.015164941,0.054999699,0.00690124,0.001208012,0.020254309,0.005583669,0.00293343,0.045268764,0.01473724,0.196994881,0.000425634,0.006121693,0.011080283,0.03281609,0.585510125
IU PDA HM11 CC3,CC3,0.008066865,0.029975284,0.002211301,0.000467751,0.007674586,0.0027608,0.002087256,0.017490978,0.009448824,0.126341016,2.60E-05,0.004006475,0.005986178,0.012029317,0.771427325
IU PDA HM11 CC4,CC4,0.031623891,0.072142572,0.012070857,0.002343755,0.037674931,0.009546305,0.005894018,0.056408114,0.03321978,0.268005058,0.001583155,0.005301457,0.023299636,0.053054721,0.387831743
IU PDA HM11 CC5,CC5,0.038186288,0.09183636,0.015445215,0.00356868,0.038531285,0.010649115,0.007294417,0.027575757,0.034542369,0.406141941,1.67E-05,0.003093526,0.025276141,0.068031897,0.229810355
IU PDA HM11 CC6,CC6,0.012198566,0.031914133,0.014246231,0.005045624,0.022886304,0.006291582,0.008413253,0.721906098,0.053013446,0.037014481,4.11E-06,0.00270511,0.008669335,0.012649368,0.063042362
IU PDA HM11 CC7,CC7,0.047630753,0.138841862,0.024593406,0.006342685,0.056634902,0.021963162,0.011137855,0.060252384,0.114067957,0.24436255,0.003341095,0.007526397,0.041229831,0.060498705,0.16157646
IU PDA HM11 CC8,CC8,0.025681437,0.05633717,0.030906741,0.007782591,0.0550803,0.011096657,0.011063261,0.403798831,0.077276875,0.099696621,0.000818182,0.007824318,0.017354808,0.035467123,0.159815085
IU PDA HM11 CC9,CC9,0.016851534,0.030426569,0.27424521,0.038130938,0.139414945,0.004238629,0.01049762,0.185166165,0.090517562,0.050281289,2.57E-05,0.008537041,0.031016229,0.024905502,0.095745068
IU PDA HM12 CC2,CC2,0.014345914,0.060112242,0.016843321,0.002729752,0.004609019,0.005704649,0.011021153,0.028055817,0.001007516,0.199599161,0.000624771,0.003632758,0.010866685,0.026637508,0.614209734
IU PDA HM12 CC3,CC3,0.004530439,0.039393978,0.005690234,0.001077626,0.001470494,0.001821693,0.006298227,0.009933944,0.000105846,0.113544517,0.000289854,0.002325207,0.00225218,0.015219217,0.796046545
IU PDA HM12 CC4,CC4,0.023401267,0.066225774,0.025684752,0.002961993,0.008564988,0.016972539,0.013662841,0.03446708,0.002229273,0.271799977,0.00049385,0.005101389,0.040210798,0.027908644,0.460314845
IU PDA HM12 CC5,CC5,0.005135152,0.069293517,0.032090977,0.005598212,0.003149281,0.010951107,0.016019164,0.023800795,3.63E-05,0.438788995,3.20E-05,0.000667158,0.023371659,0.020448078,0.350617567
IU PDA HM12 CC6,CC6,0.003757238,0.059708912,0.020807768,0.009291039,0.002096283,0.011520481,0.004758936,0.732996332,0.016989842,0.02583355,4.89E-06,0.000680132,0.004046495,0.026807877,0.080700225
IU PDA HM12 CC7,CC7,0.071826155,0.199749631,0.051180085,0.005432709,0.022019518,0.0313393,0.002451324,0.050448108,0.029686784,0.153373617,0.010855719,0.004454508,0.135529726,0.038384045,0.193268778
IU PDA HM12 CC8,CC8,0.014766765,0.14974005,0.035971123,0.006968352,0.006894414,0.013375583,0.004272237,0.370000802,0.020670696,0.074997139,1.04E-05,0.003333014,0.006992662,0.057902745,0.234104019
IU PDA HM12 CC9,CC9,0.185358679,0.15578793,0.123049885,0.004899204,0.095910794,0.021921991,5.70E-05,0.004914114,0.094354865,0.063388819,5.70E-05,0.006647329,0.081013049,0.017413039,0.145226155
IU PDA HM13 CC1,CC1,0.038541362,0.124189231,0.022662225,0.00601347,0.038918292,0.006058567,0.012553598,0.124856039,0.015355478,0.507429756,2.64E-05,0.006465333,0.016687091,0.068238114,0.012005013
IU PDA HM13 CC4,CC4,0.042664242,0.15351643,0.029481639,0.009839795,0.014907034,0.003242466,0.007291246,0.069559778,0.014715932,0.293674941,2.86E-05,2.86E-05,0.003431349,0.007528448,0.350089572
IU PDA HM13 CC5,CC5,0.047203942,0.115103541,0.030733883,0.002831403,0.030930329,0.00348109,0.007114029,0.120871599,0.022518111,0.388655615,2.56E-05,0.003230702,0.010743025,0.039314578,0.177242596
IU PDA HM13 CC6,CC6,0.0277486,0.025524593,0.016295551,0.00379614,0.018196005,0.010383953,0.007445848,0.730684677,0.064220189,0.05472848,4.67E-06,0.003295902,0.018227365,0.008359585,0.011088445
IU PDA HM13 CC7,CC7,0.034338066,0.124372583,0.026995145,0.008971246,0.046778786,0.011284021,0.012741054,0.127314349,0.06390544,0.283228109,0.000299695,0.01080862,0.028948539,0.204605199,0.015409151
IU PDA HM13 CC8,CC8,0.044470737,0.046624577,0.037195691,0.009036281,0.046275477,0.018028438,0.013183476,0.407860819,0.103391488,0.155762246,1.92E-05,0.007521297,0.037643882,0.036384704,0.036601717
IU PDA HM13 CC9,CC9,0.225104082,7.05E-05,0.159365596,3.28E-05,0.100068231,3.28E-05,0.070873586,0.24150367,0.039858098,0.129380412,3.28E-05,3.28E-05,3.28E-05,3.28E-05,0.033578887
IU PDA HM2 CC1,CC1,0.045332587,0.103990856,0.148917761,5.91E-05,0.031875685,7.51E-05,5.91E-05,0.001917372,9.58E-05,0.468955226,5.91E-05,0.04431477,0.070108973,0.050573449,0.033665238
IU PDA HM2 CC2,CC2,0.002296641,0.026314434,0.061927668,0.002776908,0.00992353,0.00458322,0.02941236,0.002566741,0.00415621,0.168796806,5.69E-05,0.045865114,0.019323132,0.029378509,0.592621793
IU PDA HM2 CC3,CC3,0.000721231,0.014804057,0.021371655,0.001609161,0.00299042,0.002931972,0.013973244,0.001433937,0.001399375,0.091375594,3.75E-05,0.030171253,0.008120829,0.017471245,0.791588525
IU PDA HM2 CC4,CC4,0.006103301,0.04167046,0.092886161,0.005560604,0.018327869,0.007758656,0.033006365,0.003162431,0.003582084,0.24285297,6.48E-05,0.059030177,0.026564884,0.03884105,0.420588222
IU PDA HM2 CC5,CC5,0.031847229,0.056936099,0.123446057,0.001870773,0.030279391,0.011320056,0.017148418,0.00148752,0.004154517,0.371125364,6.12E-05,0.045476341,0.054763714,0.015898077,0.234185258
IU PDA HM2 CC7,CC7,0.041877421,0.141567734,0.119838109,0.011978543,0.031448385,0.039860758,0.002929928,8.88E-05,0.003216574,0.23352765,6.63E-05,0.035204543,0.176937637,0.002948634,0.158508923
IU PDA HM2 CC9,CC9,0.000175294,0.000175294,0.395374184,0.000175294,0.048367547,0.000175294,0.000175294,0.000175294,0.147704961,0.031928505,0.000175294,0.000175294,0.000175294,0.093317937,0.28172922
IU PDA HM2 2 CC2,CC2,0.001423079,0.023503574,0.01970776,0.000952297,0.004011561,0.003608209,0.017862296,0.205067678,0.012502757,0.082896086,3.16E-05,0.03709108,0.006122575,0.038534641,0.54668478
IU PDA HM2 2 CC3,CC3,0.000157707,0.025436884,0.016837124,0.000263552,0.001458268,0.002153338,0.007555721,0.13048297,0.005170137,0.0500395,2.92E-05,0.020615232,0.005645641,0.020293871,0.713860855
IU PDA HM2 2 CC4,CC4,0.002426279,0.019676234,0.042096095,0.002213259,0.01209912,0.006683519,0.009742638,0.225859382,0.010820324,0.161383067,4.89E-05,0.051860084,0.01771517,0.047490612,0.389885363
IU PDA HM2 2 CC6,CC6,0.001973002,0.020929938,0.026295313,0.002957351,0.005401722,0.009319299,0.005983146,0.836916354,0.030382494,0.010224737,3.34E-06,0.003442328,0.007717185,0.009278382,0.029175406
IU PDA HM2 2 CC8,CC8,0.00484476,0.023924899,0.041921496,0.001748,0.009871058,0.005693518,0.018804359,0.4376663,0.023491116,0.057323804,1.81E-05,0.022103175,0.012562669,0.027063702,0.312963011
IU PDA HM3 CC1,CC1,0.018026557,0.031131436,0.076657301,0.007289852,0.028729718,0.033374982,0.010286231,0.186743312,0.003508421,0.489812242,3.24E-05,0.013288251,0.0600913,0.002066559,0.038961439
IU PDA HM3 CC2,CC2,0.026315303,0.019427102,0.026785014,0.002792158,0.008762611,0.002794918,0.02037497,0.237882814,0.025594841,0.045852084,2.98E-05,0.022493432,0.016046735,0.007256433,0.53759179
IU PDA HM3 CC3,CC3,0.010796648,3.55E-05,0.013566224,5.33E-05,0.000109636,3.19E-05,3.98E-05,0.076547657,3.09E-05,0.018357402,2.76E-05,0.00920877,2.76E-05,0.06531072,0.805856525
IU PDA HM3 CC4,CC4,0.022069408,0.018138292,0.018713234,0.026529343,0.031793049,0.020332928,0.038925583,0.197268887,0.001722993,0.193041176,3.84E-05,3.84E-05,0.045634206,0.003093626,0.382660658
IU PDA HM3 CC5,CC5,0.01163659,0.019830534,0.073932019,3.94E-05,0.022487558,0.013250568,0.027330361,0.190212013,0.007021652,0.41970354,3.94E-05,0.026391689,0.055256905,0.000599058,0.132268616
IU PDA HM3 CC6,CC6,0.011065149,0.013670736,0.026084011,0.003528443,0.014800709,0.007624737,0.006837267,0.842514501,0.033050032,0.017554566,4.29E-06,0.002387025,0.008756244,0.002186298,0.009935993
IU PDA HM3 CC7,CC7,0.051616495,0.039039924,0.088801121,0.002909804,0.021057584,0.045506579,0.007477402,0.213520965,0.040865513,0.296805249,4.30E-05,0.011499257,0.117406254,0.002544733,0.060906181
IU PDA HM3 CC8,CC8,0.055434534,0.023877845,0.065368741,0.007336807,0.030050511,0.017981173,0.01507334,0.457162892,0.062628089,0.128767413,0.000864794,0.006815707,0.041440309,0.005621082,0.081576763
IU PDA HM3 CC9,CC9,0.147720007,0.030302134,0.246786264,0.005958751,0.067258863,0.030307759,5.12E-05,0.233371654,0.150213674,0.028462472,5.12E-05,5.12E-05,0.058805542,5.12E-05,0.000608094
IU PDA HM4 CC2,CC2,0.001329772,0.022370088,0.062850319,0.003312256,0.013470763,0.003893136,0.018417708,0.108004089,0.009710154,0.085901613,5.03E-05,0.038476484,0.020670882,0.035567313,0.575975169
IU PDA HM4 CC3,CC3,0.000588924,0.016395202,0.038604155,0.002358334,0.005120728,0.001892509,0.011272826,0.047708606,0.005045177,0.054076506,4.23E-05,0.022250612,0.011716802,0.017300472,0.765626877
IU PDA HM4 CC4,CC4,0.00163469,0.047216651,0.106071516,0.001756936,0.039587434,0.00495191,0.02075463,0.091984212,0.000511404,0.149239891,4.24E-05,0.058207178,0.039866305,0.065355717,0.372819122
IU PDA HM4 CC6,CC6,0.002430662,0.021887412,0.043088244,0.006314857,0.010927596,0.004756224,0.011072328,0.727043243,0.021787756,0.018862698,6.40E-06,0.010745254,0.007097915,0.018384059,0.09559535
IU PDA HM4 CC7,CC7,0.004406951,0.037094808,0.14805641,6.95E-05,0.029323433,0.005961992,0.026447075,0.1112022,0.024993371,0.153746497,6.22E-05,0.028232105,0.031536601,0.197217756,0.201649062
IU PDA HM4 CC8,CC8,0.002393678,0.025546314,0.054956485,0.003639328,0.022228533,0.004085073,0.022585892,0.446143921,0.020229497,0.04667478,2.00E-05,0.02369502,0.011246096,0.02844351,0.288111904
IU PDA HM4 CC9,CC9,0.041611499,0.063427477,0.297128056,0.013966007,0.02370419,0.000592816,0.040991319,0.120395195,0.046403368,0.093740072,3.82E-05,0.02103331,0.004879265,0.039340636,0.192748552
IU PDA HM5 CC2,CC2,0.00151463,0.028074492,0.005947249,0.000112859,0.000524816,0.006353337,0.002870883,0.170516518,0.002415572,0.094702844,2.18E-05,0.034616665,0.017446311,0.025255692,0.609626334
IU PDA HM5 CC3,CC3,0.000817819,0.019624168,0.000711363,5.31E-05,0.000121556,0.003207016,0.000906644,0.069055709,0.000303497,0.083310749,2.36E-05,0.031757139,0.008127007,0.016165164,0.765815435
IU PDA HM5 CC4,CC4,0.01697891,0.039686546,0.027189932,3.00E-05,3.00E-05,0.073683484,0.004057543,0.089679975,3.00E-05,0.144890158,3.00E-05,0.038975655,0.147295309,0.023018625,0.394424059
IU PDA HM5 CC5,CC5,0.014579837,0.025289084,0.083052472,2.35E-05,2.35E-05,2.35E-05,2.35E-05,0.252535419,0.011474954,0.33724804,2.35E-05,2.35E-05,2.83E-05,2.35E-05,0.27562724
IU PDA HM5 CC6,CC6,0.001777074,0.015258608,0.022333365,0.001974162,0.002867326,0.005113606,0.007399609,0.80096642,0.019409894,0.010956147,3.64E-06,0.00542484,0.005548444,0.00947365,0.091493213
IU PDA HM5 CC8,CC8,0.003773396,0.018841444,0.027362021,0.002067278,0.005168843,0.004956346,0.009549372,0.499990813,0.019584925,0.034616428,1.07E-05,0.016383621,0.009710749,0.021775853,0.326208163
IU PDA HM6 CC1,CC1,0.043280286,0.029555236,0.04464737,2.70E-05,0.013500158,0.00514843,0.045253584,0.099435759,0.024510791,0.56318132,2.70E-05,0.019287142,0.013349897,0.032439291,0.066356804
IU PDA HM6 CC2,CC2,0.01051744,0.013121331,0.046485081,0.003689022,0.011061711,0.005873472,0.021010381,0.075937334,0.010498221,0.15156664,4.83E-05,0.057353383,0.014872742,0.019411284,0.558553685
IU PDA HM6 CC3,CC3,0.005029129,0.005041344,0.016954526,7.98E-05,0.0041658,0.004640739,0.012891568,0.038210789,0.001487931,0.101246348,3.74E-05,0.04642599,0.007979179,0.007516286,0.748293271
IU PDA HM6 CC4,CC4,0.0165812,0.019144568,0.069944644,0.007630402,0.012608541,0.008717256,0.030533538,0.097891294,0.005563264,0.23815509,6.11E-05,0.055088188,0.016322061,0.031831768,0.389927102
IU PDA HM6 CC5,CC5,0.039046379,0.022775249,0.058492816,0.004371896,0.017207117,0.011888658,0.042717609,0.098859229,0.009049933,0.396920401,4.81E-05,0.030610007,0.015632966,0.030164303,0.222215361
IU PDA HM6 CC6,CC6,0.006469752,0.010685817,0.052484357,0.004058731,0.007291967,0.005278282,0.007146283,0.77103401,0.03232686,0.025486161,4.43E-06,0.01416488,0.006992554,0.011435859,0.045140073
IU PDA HM6 CC7,CC7,0.034059697,0.046902078,0.104108229,0.012067249,0.046490085,0.017910394,0.039492359,0.148542685,0.059841372,0.191278307,6.53E-05,0.054939549,0.032500384,0.054506835,0.157295439
IU PDA HM6 CC8,CC8,0.024206416,0.022168312,0.147619815,0.013389769,0.017530124,0.012169662,0.024025249,0.351624605,0.035702327,0.098983129,3.44E-05,0.035876506,0.018880004,0.022719371,0.175070352
IU PDA HM6 CC9,CC9,0.047966528,0.007814636,0.451029541,0.01335943,0.044663819,0.010416546,0.032914555,0.111409517,0.039073119,0.05919854,9.12E-05,0.033577732,0.023564639,0.01807371,0.106846459
IU PDA HM8 CC2,CC2,0.001235777,0.040340818,0.027060386,0.000671156,0.002347214,0.007578189,0.00320821,0.27060703,0.005404607,0.040426817,2.80E-05,0.013816034,0.00687157,0.014401209,0.566003055
IU PDA HM8 CC3,CC3,0.001014391,0.019889233,0.023248271,0.000382157,0.001848597,0.005191195,0.005376899,0.209628006,0.004189565,0.028758996,3.36E-05,0.005724187,0.003697567,0.004159963,0.686857369
IU PDA HM8 CC4,CC4,4.38E-05,0.141106073,0.109025874,4.38E-05,0.025171242,0.059053727,4.38E-05,0.164298224,4.38E-05,0.11003174,4.38E-05,0.026971115,4.38E-05,4.38E-05,0.364035376
IU PDA HM8 CC6,CC6,0.002044526,0.021411088,0.032698422,0.002907432,0.007067911,0.007749963,0.010666624,0.804891645,0.018369083,0.013535344,4.01E-05,0.004624885,0.006580656,0.017127539,0.05028477
IU PDA HM8 CC8,CC8,0.005008979,0.05714961,0.044617857,0.003728862,0.009536133,0.013000477,0.012355205,0.481469414,0.019501827,0.03884888,0.001194994,0.010164596,0.012023537,0.049795931,0.24160371
IU PDA HM9 CC1,CC1,0.027315798,0.097955854,0.010781515,0.003232941,0.035397563,0.003976783,0.026807519,0.073950196,0.031847692,0.495454847,2.30E-05,0.018349416,0.007317268,0.163251305,0.00433823
IU PDA HM9 CC10,CC10,0.056611817,0.044511808,0.026855639,5.17E-05,0.002105737,0.037517004,5.17E-05,0.028407893,0.236905925,5.17E-05,0.463893411,5.17E-05,0.010212697,5.17E-05,0.092719356
IU PDA HM9 CC4,CC4,0.030202517,9.28E-05,0.027237905,9.28E-05,0.01537565,0.005952281,0.131835158,0.059983785,0.03635136,0.138163834,9.28E-05,9.28E-05,0.009021223,0.182116266,0.363388774
IU PDA HM9 CC6,CC6,0.028118222,0.03653877,0.01594321,0.004828597,0.01524881,0.008766815,0.015345604,0.740781542,0.076266906,0.018019769,3.91E-06,0.003264805,0.014518604,0.017939596,0.004414844
IU PDA HM9 CC7,CC7,0.072312449,0.164676206,0.022017247,0.008908366,0.030755841,0.015803569,0.040627714,0.112507529,0.121716902,0.123666645,0.001101741,0.018035799,0.021930794,0.241416185,0.004523018
IU PDA HM9 CC8,CC8,0.106121186,0.075141421,0.031428501,0.00900806,0.025767837,0.014442823,0.021891754,0.366015778,0.163561338,0.039067475,1.50E-05,0.005554978,0.038464951,0.091600947,0.011917973
IU PDA HM9 CC9,CC9,0.220860593,0.093307164,0.16628727,0.028647773,0.047788119,0.033327619,0.021671206,0.0731333,0.205331792,0.016980063,4.29E-05,0.005429606,0.052631168,0.029591519,0.004969894
IU PDA LNM10 CC1,CC1,0.067393058,0.130587404,0.030158141,0.03040052,0.025804459,0.009892876,0.008323695,0.00016284,0.000972598,0.577188391,2.88E-05,0.020056847,0.008866196,0.004334524,0.085829608
IU PDA LNM10 CC2,CC2,0.013592162,0.060146815,0.004063407,0.004180384,0.003028727,0.009169126,0.002221937,0.00012159,0.000200199,0.16804011,2.05E-05,0.039918824,0.014079741,0.063326174,0.617890333
IU PDA LNM10 CC3,CC3,0.007425621,0.031793478,0.001389458,0.001682541,0.001460358,0.003547636,0.00188158,0.000101064,3.87E-05,0.097044468,2.28E-05,0.024423369,0.006064893,0.03058573,0.792538286
IU PDA LNM10 CC4,CC4,0.032795992,0.106969783,0.010134694,0.012734646,0.007107399,0.015804647,0.004612928,0.000144074,0.000100595,0.267797057,2.52E-05,0.048797102,0.017850909,0.056893314,0.418231632
IU PDA LNM10 CC5,CC5,0.083625695,0.135206248,0.019823166,0.026207457,0.016885872,0.017012777,0.007551866,0.000136702,0.000833556,0.40093906,3.19E-05,0.042585082,0.018676051,0.014914321,0.21557025
IU PDA LNM10 CC7,CC7,0.076067817,0.224655881,0.041429634,0.050791478,0.009264043,0.021266664,0.014358783,4.66E-05,0.000107333,0.267414618,3.03E-05,0.053028211,0.022872076,0.087535462,0.131131043
IU PDA LNM10 CC9,CC9,0.412667563,0.026636778,9.26E-05,3.63E-05,8.74E-05,0.00146391,3.63E-05,3.63E-05,3.63E-05,0.078504488,3.63E-05,0.25519472,0.00788298,3.63E-05,0.217251706
IU PDA LNM12 CC2,CC2,0.108448894,0.026232434,0.119001154,0.008656424,0.061584028,0.01384343,0.006724739,7.42E-05,0.01062138,0.076452229,2.48E-05,0.024450459,0.028709402,0.00493383,0.510242572
IU PDA LNM12 CC3,CC3,0.073988006,0.023520642,0.068206663,0.009113267,0.05015329,0.003900944,0.003457661,0.00010607,0.002970208,0.053026033,1.72E-05,0.01081815,0.019644171,1.72E-05,0.681060577
IU PDA LNM12 CC4,CC4,0.18666177,0.040968916,0.086159257,0.018089009,0.052810499,0.016537274,0.003442166,6.55E-05,0.006469175,0.216711081,2.98E-05,0.014698726,0.034961872,0.002690506,0.31970449
IU PDA LNM12 CC5,CC5,0.197720402,0.049972375,0.105064476,0.01557508,0.064531438,0.016572296,0.001597963,0.000697023,7.73E-05,0.323105286,2.71E-05,0.025826624,0.028532058,0.000778412,0.169922271
IU PDA LNM12 CC7,CC7,0.116544731,0.064197558,0.115064117,0.024942101,0.068336917,0.036763224,0.051860303,0.001148404,0.21598716,0.081741972,5.09E-05,0.025154284,0.124166095,0.009871469,0.064170751
IU PDA LNM12 CC9,CC9,0.238508696,0.029136096,0.291208904,0.023933861,0.080069858,0.01774248,0.013458166,0.000409092,0.046689236,0.076699507,3.17E-05,0.017154931,0.045355007,0.010295763,0.109306669
